nr,spelare,pos,gp,g,a,tp,pim,gwg,ppg,sog,hits,bks,+,-,+/-,toi/gp,team
67.0,*Leon Bristedt*L Bristedt,F,46,14,32,46,78,2,4,93,33,22,43,24,19,17:04,Rögle BK
91.0,Adam TambelliniA Tambellini,F,39,24,19,43,6,5,11,135,14,9,42,18,24,17:56,Rögle BK
28.0,Anton BengtssonA Bengtsson,F,49,20,19,39,10,4,3,100,69,12,43,23,20,18:42,Rögle BK
16.0,*Lucas Ekeståhl-Jonsson*L Ekeståhl-Jonsson,D,52,7,29,36,20,2,4,93,18,45,44,35,9,20:36,Rögle BK
18.0,Dennis EverbergD Everberg,F,45,16,18,34,49,2,4,79,37,15,48,25,23,18:27,Rögle BK
12.0,Brady FergusonB Ferguson,F,52,6,17,23,18,2,0,74,18,27,37,25,12,17:53,Rögle BK
54.0,William WallinderW Wallinder,D,47,4,15,19,6,0,0,46,36,33,31,26,5,15:43,Rögle BK
40.0,*Oskar Stål-Lyrenäs*O Stål-Lyrenäs,F,47,8,10,18,4,1,1,70,8,14,18,22,-4,14:10,Rögle BK
61.0,Ludvig LarssonL Larsson,F,50,8,9,17,14,3,1,58,28,19,26,17,9,14:28,Rögle BK
6.0,Tony SundT Sund,D,45,6,10,16,20,0,0,69,59,37,36,21,15,20:02,Rögle BK
58.0,Ryan McKiernanR McKiernan,D,49,2,14,16,45,1,1,62,33,52,27,25,2,18:35,Rögle BK
22.0,Samuel JonssonS Jonsson,D,42,1,15,16,4,0,0,55,4,31,34,25,9,19:16,Rögle BK
72.0,*Daniel Zaar*D Zaar,F,16,3,12,15,4,0,0,31,4,9,13,8,5,18:02,Rögle BK
90.0,Ted BrithénT Brithén,F,25,4,8,12,6,2,1,32,8,15,15,16,-1,15:10,Rögle BK
24.0,Marco KasperM Kasper,F,46,7,4,11,17,1,1,55,34,14,15,25,-10,11:44,Rögle BK
27.0,Linus SjödinL Sjödin,F,49,5,6,11,6,1,0,34,20,15,17,17,0,11:59,Rögle BK
16.0,*Tyler Kelleher*T Kelleher,F,34,4,6,10,12,0,0,27,4,5,13,10,3,11:05,Rögle BK
34.0,Adam EdströmA Edström,F,43,7,2,9,6,3,0,62,74,19,17,15,2,13:34,Rögle BK
8.0,*Samuel Johannesson*S Johannesson,D,48,1,6,7,2,1,0,19,5,19,21,21,0,12:05,Rögle BK
7.0,Erlend LesundE Lesund,D,21,0,6,6,27,0,0,26,37,15,15,15,0,21:05,Rögle BK
73.0,*Valtteri Kemiläinen*V Kemiläinen,D,8,2,3,5,2,0,0,13,3,8,7,6,1,16:19,Rögle BK
11.0,*Mattias Sjögren*M Sjögren,F,44,1,4,5,18,1,0,20,49,13,7,27,-20,12:49,Rögle BK
86.0,*Éric Gélinas*É Gélinas,D,12,1,1,2,4,0,1,29,7,11,7,4,3,16:40,Rögle BK
17.0,*Philip Granath*P Granath,F,40,1,1,2,4,0,0,20,17,18,5,16,-11,7:22,Rögle BK
71.0,*Robert Lantosi*R Lantosi,F,6,1,0,1,0,0,0,10,0,1,2,2,0,10:07,Rögle BK
57.0,*Vojtech Mozik*V Mozik,D,13,1,0,1,2,1,0,22,8,14,5,5,0,16:35,Rögle BK
20.0,*Oliver Tärnström*O Tärnström,F,27,0,1,1,2,0,0,11,3,1,2,9,-7,6:08,Rögle BK
9.0,*Viktor Grahn*V Grahn,D,1,0,0,0,2,0,0,2,0,0,0,0,0,14:28,Rögle BK
33.0,*Oskar Asplund*O Asplund,D,1,0,0,0,2,0,0,0,0,0,0,0,0,9:22,Rögle BK
55.0,*Oscar Johnsson*O Johnsson,F,4,0,0,0,0,0,0,3,0,1,0,2,-2,3:38,Rögle BK
15.0,*Kevin Engvall*K Engvall,F,5,0,0,0,0,0,0,0,0,0,0,0,0,3:09,Rögle BK
71.0,*Kalle Bartholdsson*K Bartholdsson,D,5,0,0,0,0,0,0,0,0,0,0,1,-1,0:30,Rögle BK
55.0,William StrömgrenW Strömgren,F,6,0,0,0,0,0,0,2,1,0,0,1,-1,1:47,Rögle BK
32.0,*Oskar Hassel*O Hassel,D,22,0,0,0,2,0,0,3,3,2,2,4,-2,3:01,Rögle BK
67.0,Linus OmarkL Omark,F,52,21,37,58,32,5,7,118,2,11,40,29,11,20:13,Luleå Hockey
96.0,Pontus AndreassonP Andreasson,F,52,18,20,38,22,3,5,89,4,11,39,20,19,15:30,Luleå Hockey
21.0,Juhani TyrväinenJ Tyrväinen,F,36,11,19,30,76,2,5,49,37,24,30,17,13,19:10,Luleå Hockey
18.0,Sami LepistöS Lepistö,D,39,4,25,29,24,1,1,82,12,33,26,21,5,23:09,Luleå Hockey
24.0,Brendan ShinniminB Shinnimin,F,52,14,13,27,36,3,7,101,35,14,32,25,7,17:01,Luleå Hockey
71.0,Linus FröbergL Fröberg,F,52,9,17,26,14,5,2,72,5,18,30,26,4,18:04,Luleå Hockey
29.0,Erik GustafssonE Gustafsson,D,48,3,23,26,24,1,1,108,11,54,43,30,13,23:35,Luleå Hockey
17.0,Isac BrännströmI Brännström,F,52,13,11,24,6,2,1,82,15,10,38,22,16,16:12,Luleå Hockey
19.0,Konstantin KomarekK Komarek,F,38,9,14,23,12,0,3,64,13,13,20,24,-4,14:28,Luleå Hockey
60.0,Julius HonkaJ Honka,D,46,10,11,21,22,3,2,152,22,38,29,31,-2,19:34,Luleå Hockey
32.0,Oscar EngsundO Engsund,D,49,9,12,21,45,3,0,87,100,60,48,37,11,19:42,Luleå Hockey
20.0,Jack ConnollyJ Connolly,F,35,10,7,17,16,1,3,44,3,20,17,18,-1,16:53,Luleå Hockey
39.0,Pontus SjälinP Själin,D,42,5,10,15,16,1,0,43,15,32,34,14,20,15:14,Luleå Hockey
44.0,Jonathan AnderssonJ Andersson,D,42,3,10,13,8,1,0,44,14,22,27,14,13,16:12,Luleå Hockey
88.0,Joonas RaskJ Rask,F,47,4,8,12,6,0,3,48,26,13,15,20,-5,14:02,Luleå Hockey
14.0,*Jonas Berglund*J Berglund,F,51,4,6,10,4,1,0,34,13,18,21,14,7,12:53,Luleå Hockey
15.0,Carl MattssonC Mattsson,F,50,4,5,9,6,0,0,29,26,5,16,14,2,9:30,Luleå Hockey
26.0,Radek MuzikR Muzik,F,48,3,5,8,10,0,0,29,13,6,12,9,3,6:21,Luleå Hockey
22.0,*Vilmos Gallo*V Gallo,F,16,2,3,5,6,0,0,19,5,4,7,4,3,11:31,Luleå Hockey
50.0,Daniel SondellD Sondell,D,28,1,2,3,14,0,0,27,5,25,12,11,1,14:25,Luleå Hockey
59.0,Kim JohanssonK Johansson,D,29,1,2,3,4,0,0,18,5,10,6,10,-4,7:15,Luleå Hockey
23.0,Olli NikupeteriO Nikupeteri,F,33,1,2,3,2,0,0,20,7,7,6,10,-4,7:30,Luleå Hockey
55.0,Filip PyrochtaF Pyrochta,D,13,1,1,2,2,0,0,10,2,0,4,6,-2,11:06,Luleå Hockey
10.0,Einar EmanuelssonE Emanuelsson,F,49,1,1,2,2,0,0,40,7,6,12,14,-2,9:30,Luleå Hockey
2.0,Fredrik StyrmanF Styrman,D,8,0,1,1,2,0,0,8,0,4,1,0,1,10:38,Luleå Hockey
55.0,*Edward Björk*E Björk,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Luleå Hockey
,*Lucas Ramberg*L Ramberg,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Luleå Hockey
8.0,*Simon Lindblom*S Lindblom,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Luleå Hockey
8.0,*Dans Locmelis*D Locmelis,F,2,0,0,0,0,0,0,1,0,0,0,0,0,1:42,Luleå Hockey
25.0,*Andreas Nilsson*A Nilsson,F,14,0,0,0,2,0,0,1,0,0,0,2,-2,2:16,Luleå Hockey
22.0,Jonathan JohnsonJ Johnson,F,51,14,38,52,16,2,2,82,4,17,40,30,10,16:41,Skellefteå AIK
94.0,Linus KarlssonL Karlsson,F,52,26,20,46,18,6,13,179,9,19,41,31,10,16:29,Skellefteå AIK
64.0,Jonathan PudasJ Pudas,D,42,7,37,44,32,0,1,67,11,70,39,28,11,23:58,Skellefteå AIK
96.0,Rickard HuggR Hugg,F,52,17,23,40,0,5,6,115,8,22,36,25,11,16:57,Skellefteå AIK
10.0,Joakim LindströmJ Lindström,F,52,11,26,37,16,2,5,153,7,9,30,25,5,16:31,Skellefteå AIK
45.0,Oscar MöllerO Möller,F,49,16,18,34,18,6,1,118,13,26,43,19,24,17:03,Skellefteå AIK
16.0,Linus LindströmL Lindström,F,51,14,13,27,22,3,1,77,24,27,35,15,20,15:40,Skellefteå AIK
58.0,Oskar NilssonO Nilsson,D,48,5,16,21,36,1,2,61,24,20,44,25,19,19:53,Skellefteå AIK
15.0,Melker KarlssonM Karlsson,F,50,11,9,20,20,1,2,56,34,53,28,26,2,16:58,Skellefteå AIK
88.0,Jayce HawrylukJ Hawryluk,F,39,8,11,19,26,2,4,56,41,9,18,22,-4,15:15,Skellefteå AIK
3.0,Michael KaplaM Kapla,D,52,1,18,19,20,1,1,56,11,34,43,26,17,19:00,Skellefteå AIK
2.0,Adam WilsbyA Wilsby,D,51,4,13,17,28,0,0,61,20,14,46,22,24,17:17,Skellefteå AIK
34.0,Tom KühnhacklT Kühnhackl,F,46,3,10,13,6,0,0,56,8,17,28,15,13,13:19,Skellefteå AIK
13.0,Stefan LoiblS Loibl,F,42,4,6,10,6,0,1,52,14,10,18,14,4,13:37,Skellefteå AIK
29.0,Albin SundsvikA Sundsvik,F,47,5,4,9,16,1,0,54,22,15,18,12,6,12:40,Skellefteå AIK
23.0,Adam MascherinA Mascherin,F,15,7,1,8,27,1,2,35,6,1,10,5,5,14:22,Skellefteå AIK
8.0,Petter GranbergP Granberg,D,50,1,6,7,51,0,0,32,78,51,27,25,2,17:04,Skellefteå AIK
26.0,Simon RobertssonS Robertsson,F,48,5,1,6,20,1,0,29,23,9,9,9,0,6:45,Skellefteå AIK
19.0,Filip RoosF Roos,D,50,1,5,6,8,0,0,53,44,22,26,15,11,15:37,Skellefteå AIK
43.0,Filip SandbergF Sandberg,F,22,3,2,5,8,0,1,19,10,12,6,8,-2,11:19,Skellefteå AIK
6.0,Måns ForsfjällM Forsfjäll,D,45,2,3,5,8,0,0,33,29,15,14,12,2,9:51,Skellefteå AIK
24.0,Elias StenmanE Stenman,F,27,2,2,4,0,0,0,12,2,6,4,7,-3,7:07,Skellefteå AIK
42.0,*Zeb Forsfjäll*Z Forsfjäll,F,1,0,0,0,0,0,0,0,0,0,0,0,0,7:59,Skellefteå AIK
18.0,*Theo Keilin*T Keilin,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Skellefteå AIK
89.0,*Oscar Eriksson*O Eriksson,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0:43,Skellefteå AIK
9.0,*Oscar Nilsson*O Nilsson,F,4,0,0,0,0,0,0,1,0,0,0,0,0,0:14,Skellefteå AIK
40.0,*Jacob Sundin*J Sundin,F,7,0,0,0,0,0,0,0,0,0,0,0,0,3:42,Skellefteå AIK
44.0,Elias SalomonssonE Salomonsson,D,10,0,0,0,2,0,0,1,3,0,1,2,-1,6:24,Skellefteå AIK
5.0,*Fred Nilsson*F Nilsson,D,11,0,0,0,4,0,0,2,1,0,2,1,1,4:20,Skellefteå AIK
27.0,*Gabriel Säll*G Säll,F,12,0,0,0,2,0,0,2,3,3,4,0,4,4:46,Skellefteå AIK
81.0,Ryan LaschR Lasch,F,52,13,53,66,8,3,6,70,4,13,39,40,-1,20:03,Frölunda HC
43.0,Michael SpacekM Spacek,F,49,10,36,46,33,3,5,69,3,9,30,35,-5,17:09,Frölunda HC
25.0,Elmer SöderblomE Söderblom,F,52,21,12,33,10,8,7,132,28,26,26,36,-10,15:14,Frölunda HC
20.0,Joel LundqvistJ Lundqvist,F,52,9,16,25,28,1,6,66,72,14,27,31,-4,17:19,Frölunda HC
12.0,Max FribergM Friberg,F,41,12,10,22,10,5,0,74,33,36,32,25,7,17:05,Frölunda HC
10.0,*Jens Olsson*J Olsson,D,52,7,14,21,10,0,5,79,23,29,30,30,0,16:49,Frölunda HC
74.0,Andreas BorgmanA Borgman,D,24,7,13,20,47,1,3,68,41,22,21,26,-5,22:50,Frölunda HC
7.0,Simon EdvinssonS Edvinsson,D,44,2,17,19,18,0,0,79,34,54,36,23,13,19:42,Frölunda HC
9.0,Jan MursakJ Mursak,F,47,9,9,18,14,0,1,74,36,34,27,19,8,14:38,Frölunda HC
27.0,*Theodor Niederbach*T Niederbach,F,51,9,7,16,12,3,1,60,7,14,15,16,-1,10:35,Frölunda HC
72.0,Patrik CarlssonP Carlsson,F,46,7,9,16,4,1,2,66,21,21,21,21,0,14:46,Frölunda HC
28.0,Johan SundströmJ Sundström,F,49,6,9,15,16,0,1,77,18,25,20,35,-15,13:46,Frölunda HC
2.0,Christian FolinC Folin,D,47,5,10,15,49,0,0,68,96,69,38,29,9,19:53,Frölunda HC
51.0,Mats Rosseli OlsenM Rosseli Olsen,F,51,4,10,14,37,1,0,68,12,22,27,20,7,14:55,Frölunda HC
16.0,*Stefan Elliott*S Elliott,D,47,5,8,13,10,0,0,111,12,49,27,30,-3,18:06,Frölunda HC
5.0,Filip JohanssonF Johansson,D,47,3,8,11,8,0,0,103,18,32,31,26,5,16:45,Frölunda HC
75.0,Radan LencR Lenc,F,14,6,4,10,6,0,2,24,4,8,13,13,0,15:30,Frölunda HC
31.0,Nicklas LasuN Lasu,F,46,5,5,10,53,0,0,62,74,18,26,13,13,14:43,Frölunda HC
21.0,*Karl Henriksson*K Henriksson,F,40,3,6,9,8,2,0,36,10,19,16,12,4,10:11,Frölunda HC
22.0,Linus NässénL Nässén,F,36,4,2,6,14,1,0,25,22,22,8,11,-3,9:10,Frölunda HC
15.0,Anders GrönlundA Grönlund,D,36,4,1,5,10,1,0,31,14,23,11,15,-4,14:04,Frölunda HC
67.0,Jacob NilssonJ Nilsson,F,5,3,1,4,0,1,2,12,1,9,2,4,-2,15:38,Frölunda HC
8.0,Viktor EkbomV Ekbom,D,26,0,4,4,4,0,0,15,22,37,13,6,7,11:58,Frölunda HC
6.0,*Mattias Norlinder*M Norlinder,D,21,0,2,2,2,0,0,29,10,18,9,16,-7,15:02,Frölunda HC
3.0,*Stefan Milosevic*S Milosevic,D,16,1,0,1,0,0,0,4,2,3,1,3,-2,1:56,Frölunda HC
32.0,*Jacob Olofsson*J Olofsson,F,7,0,1,1,0,0,0,4,2,1,1,6,-5,6:31,Frölunda HC
71.0,*Daniel Torgersson*D Torgersson,F,1,0,0,0,0,0,0,0,1,0,0,0,0,7:19,Frölunda HC
55.0,*Theo Angesved*T Angesved,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Frölunda HC
16.0,*Hugo Gabrielson*H Gabrielson,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0:00,Frölunda HC
32.0,*Noah Hasa*N Hasa,F,8,0,0,0,0,0,0,2,1,1,0,1,-1,1:53,Frölunda HC
44.0,*Ludwig Persson*L Persson,F,10,0,0,0,2,0,0,3,0,0,0,0,0,2:11,Frölunda HC
46.0,Liam Dower NilssonL Dower Nilsson,F,10,0,0,0,2,0,0,4,9,1,0,0,0,4:31,Frölunda HC
10.0,*Richard Gynge*R Gynge,F,52,23,25,48,6,5,14,180,12,27,34,37,-3,16:59,Växjö Lakers
29.0,*Pontus Holmberg*P Holmberg,F,46,11,30,41,44,2,2,79,13,21,31,26,5,18:18,Växjö Lakers
94.0,Joel PerssonJ Persson,D,50,8,31,39,10,2,2,129,4,42,38,35,3,21:44,Växjö Lakers
87.0,Robert RosénR Rosén,F,39,11,27,38,16,3,2,55,4,22,26,24,2,16:33,Växjö Lakers
31.0,*Olle Lycksell*O Lycksell,F,47,14,20,34,6,4,4,104,4,12,31,33,-2,16:42,Växjö Lakers
37.0,Glenn GustafssonG Gustafsson,F,52,16,11,27,27,2,7,68,66,18,25,26,-1,16:24,Växjö Lakers
22.0,Tobias RiederT Rieder,F,36,11,11,22,4,2,5,63,21,14,26,16,10,15:31,Växjö Lakers
33.0,*Julius Nättinen*J Nättinen,F,33,8,12,20,0,3,3,59,15,5,14,14,0,11:49,Växjö Lakers
27.0,Martin LundbergM Lundberg,F,45,8,8,16,41,0,2,63,44,28,24,15,9,15:01,Växjö Lakers
7.0,Hardy Häman AktellH Häman Aktell,D,50,5,11,16,47,0,0,77,24,43,39,33,6,20:13,Växjö Lakers
26.0,Joel KellmanJ Kellman,F,25,6,9,15,29,3,1,47,9,16,19,9,10,16:33,Växjö Lakers
91.0,*Andrew Calof*A Calof,F,34,5,8,13,6,0,0,53,7,9,15,14,1,13:31,Växjö Lakers
8.0,Ludvig ClaessonL Claesson,D,44,5,8,13,10,0,0,42,18,35,27,28,-1,17:38,Växjö Lakers
17.0,*Emil Forslund*E Forslund,F,52,8,4,12,4,0,0,78,21,33,18,26,-8,14:12,Växjö Lakers
60.0,Erik JosefssonE Josefsson,F,51,3,7,10,18,0,0,42,8,37,22,38,-16,15:35,Växjö Lakers
28.0,Hugo GustafssonH Gustafsson,F,40,2,6,8,4,1,0,26,7,5,11,12,-1,10:54,Växjö Lakers
55.0,Miika KoivistoM Koivisto,D,27,1,7,8,12,0,0,33,9,19,16,19,-3,20:58,Växjö Lakers
41.0,Ludvig NilssonL Nilsson,F,50,2,5,7,35,1,0,45,27,23,16,24,-8,11:43,Växjö Lakers
44.0,*Peter Andersson*P Andersson,D,36,2,3,5,45,0,0,29,26,29,14,9,5,14:23,Växjö Lakers
63.0,*Michael Krutil*M Krutil,D,21,0,5,5,4,0,0,11,8,10,14,15,-1,10:01,Växjö Lakers
2.0,Amil KrupicA Krupic,D,14,1,3,4,7,0,0,5,2,6,9,7,2,15:27,Växjö Lakers
52.0,*Arvid Lundberg*A Lundberg,D,43,1,3,4,16,0,0,64,19,33,28,24,4,20:01,Växjö Lakers
53.0,*Ben Thomas*B Thomas,D,15,2,1,3,6,0,0,21,7,12,10,7,3,20:49,Växjö Lakers
